,Clean_Text,place.country,coordinates,compound,type
21,juliennedavis titus730 blueeyedbuddha muslimiq true of any majority religion look how the buddhists treat muslim rohingya christianity not immune personally im agnostic and dont appreciate dominionist catholics and evangelicals aggressive influence on lgbt womens rights environment science,United States,"[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]",0.1911,Positive
24,this is impoant as it gives a direct voice rohingyacrisis rohingya idiplomat ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.0,Neutral
25,how the worlds largest ngo is providing aid to the displaced rohingya people infinitefireinc rohingya ngo ,United States,"[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]",0.0,Neutral
31,friday september 21  morning update   easing trade worries push world stocks to highest in over half a year    the house of commons declared the rohingya crisis a genocide    via globeandmail arikligeti    ,United States,"[[-82.292185, 41.401871], [-82.096884, 41.401871], [-82.096884, 41.4852105], [-82.292185, 41.4852105]]",-0.7096,Negative
33,finally an event about the rohingya crisis in new york but need more to raise the profile ,United States,"[[-74.0081530928662, 40.71234199624114], [-74.0081530928662, 40.71234199624114], [-74.0081530928662, 40.71234199624114], [-74.0081530928662, 40.71234199624114]]",-0.3716,Negative
38,when nikki haley and the un boss both attacked myanmar on the rohingya crisis all in one day ndtv un refugeesmedia nikkihaley rohingya ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.7964,Negative
39,ascorrespondent cafreeland i disagree with the term as written but the rohingya have ceainly been persecuted and deserve international assistance the burmese should be ashamed and prosecuted in cou,United States,"[[-157.950476, 21.254837], [-157.648702, 21.254837], [-157.648702, 21.38505], [-157.950476, 21.38505]]",-0.9062,Negative
41,thats great canada  what are you going to do about it    answer  nothing canada declares crimes against rohingya constitute genocide  ,United States,"[[-73.994474, 40.800683], [-73.96229, 40.800683], [-73.96229, 40.848296], [-73.994474, 40.848296]]",0.6249,Positive
44,rohingya children are struggling to survive as refugees in bangladesh join me in delivering emergency aid for children australia join me ,United States,"[[-96.667447, 32.289048], [-96.571268, 32.289048], [-96.571268, 32.368525], [-96.667447, 32.368525]]",-0.25,Negative
45,a powerful discussion with rohingya activists nurul islam hla myint and former australian immigration minister philip ruddock on rohingyacrisis ,United States,"[[-74.255641, 40.495865], [-73.699793, 40.495865], [-73.699793, 40.91533], [-74.255641, 40.91533]]",0.4215,Positive
62,among rohingya refugees 96 of females and 95 of males repoed being sick enough to need medical care in the preceding 30 days barriers to  seeking healthcare included 22 medical supplies not available 18 clinic too far 16 treatment needed unavailable amp 15 too crowded ,United States,"[[-87.9587747, 41.701335], [-87.89258, 41.701335], [-87.89258, 41.789783], [-87.9587747, 41.789783]]",-0.0258,Neutral
81,news international  philippine miners trapped in typhoon drawn by gold drowned in mud    myanmars gravest crimes against rohingya demand action un says    colombia struck a peace deal with guerrillas  but many return to arms   via sjdailystar    ,United States,"[[-82.292185, 41.401871], [-82.096884, 41.401871], [-82.096884, 41.4852105], [-82.292185, 41.4852105]]",-0.5859,Negative
82,tomorrow the strassler center will host john knaus debbie stothard tunkhin80 and mattfwells for the past present and future of the rohingya crisis panel to discuss what the un has referred to as a textbook case of ethnic cleansingjefferson room 3204 pm thursday ,United States,"[[-71.893265, 42.210065], [-71.731611, 42.210065], [-71.731611, 42.341455], [-71.893265, 42.341455]]",-0.6249,Negative
