,Nongovernmental Organization,Website,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,Hispanic Interest Coalition of Alabma,http://www.hispanicinterest.org/,APPROXIMATE,"Birmingham, AL, USA",ChIJ07-FWN8RiYgRzlS66gl0UCU,"Birmingham, AL, United States",33.5185892,-86.8103567,1,,OK,"locality,political"
1,Interfaith Mission Service,http://www.interfaithmissionservice.org/,APPROXIMATE,"Huntsville, AL, USA",ChIJjYmizWdrYogRa1YEyIl-LJo,"Huntsville, AL, United States",34.7303688,-86.5861037,1,,OK,"locality,political"
2,Southern Poverty Law Center,http://www.splcenter.org/,APPROXIMATE,"Montgomery, AL, USA",ChIJ-YHUsJSBjogR_4VCNR1RG44,"Montgomery, AL, United States",32.3792233,-86.3077368,1,,OK,"locality,political"
3,Alabama Appleseed,http://www.welcomingalabama.com/,APPROXIMATE,"Montgomery, AL, USA",ChIJ-YHUsJSBjogR_4VCNR1RG44,"Montgomery, AL, United States",32.3792233,-86.3077368,1,,OK,"locality,political"
4,Northwest Arkansas Council,http://nwacouncil.org,APPROXIMATE,"Fayetteville, AR, USA",ChIJnT61L3tvyYcRz8i0_GnwGUU,"Fayetteville, AR, United States",36.082156,-94.17185420000001,1,,OK,"locality,political"
5,YMCA of Greater Long Beach,http://www.lbymca.org/,APPROXIMATE,"Long Beach, CA, USA",ChIJWdeZQOjKwoARqo8qxPo6AKE,"Long Beach, CA, United States",33.7700504,-118.1937395,1,,OK,"locality,political"
6,Redwood City 2020,http://www.rwc2020.org/redwood-city-together,APPROXIMATE,"Redwood City, CA, USA",ChIJ4V7zUzmgj4ARbWqqC5t75Lg,"Redwood City, CA, United States",37.48521520000001,-122.2363548,1,,OK,"locality,political"
7,YMCA of San Diego County,http://www.ymca.org/,APPROXIMATE,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"San Diego, CA, United States",32.715738,-117.1610838,1,,OK,"locality,political"
8,You Me We = Oakley!,http://www.youmeweoakley.org/,APPROXIMATE,"San Francisco, CA, USA",ChIJIQBpAG2ahYAR_6128GcTUEo,"San Francisco, CA, United States",37.7749295,-122.4194155,1,,OK,"locality,political"
9,YMCA of San Francisco,http://www.rwc2020.org/redwood-city-together,APPROXIMATE,"San Francisco, CA, USA",ChIJIQBpAG2ahYAR_6128GcTUEo,"San Francisco, CA, United States",37.7749295,-122.4194155,1,,OK,"locality,political"
10,Colorado Immigrants Rights Coalition,http://www.welcomingcolorado.org,APPROXIMATE,"Denver, CO, USA",ChIJzxcfI6qAa4cR1jaKJ_j0jhE,"Denver, CO, United States",39.7392358,-104.990251,1,,OK,"locality,political"
11,Welcoming Colorado,http://hapgj.org/programs/welcoming-colorado/,APPROXIMATE,"Montrose, CO, USA",ChIJFwgHiohQP4cRTZeLUGfkFwU,"Montrose, CO, United States",38.4783198,-107.8761738,1,,OK,"locality,political"
12,Hartford Public Library,http://www.hplct.org/library-services/immigration-citizenship,APPROXIMATE,"Hartford, CT, USA",ChIJpVER8hFT5okRmVl96ahKjsw,"Hartford, CT, United States",41.7658043,-72.6733723,1,,OK,"locality,political"
13,Building One Community,,APPROXIMATE,"Stamford, CT, USA",ChIJC7zHsmShwokRbrc0nIuGQ4c,"Stamford, CT, United States",41.0534302,-73.5387341,1,,OK,"locality,political"
14,Carlos Rosario School,http://www.carlosrosario.org/,APPROXIMATE,"Washington, DC, USA",ChIJW-T2Wt7Gt4kRKl2I1CJFUsI,"Washington, DC, United States",38.9071923,-77.0368707,1,,OK,"locality,political"
15,Welcoming Gainesville,,APPROXIMATE,"Gainesville, FL, USA",ChIJKyy_aSEg5ogRlo0QKF1554A,"Gainesville, FL, United States",29.6516344,-82.32482619999999,1,,OK,"locality,political"
16,Women Working Together,http://www.womenworkingtogetherusa.org/,APPROXIMATE,"Miami, FL, USA",ChIJEcHIDqKw2YgRZU-t3XHylv8,"Miami, FL, United States",25.7616798,-80.1917902,1,,OK,"locality,political"
17,Welcoming Athens,https://www.facebook.com/welcomingathens/,APPROXIMATE,"Athens, GA, USA",ChIJuTO0tBlt9ogRfGGd1gJydE0,"Athens, GA, United States",33.9519347,-83.357567,1,,OK,"locality,political"
18,Latin American Association Atlanta,https://www.welcomingamerica.org/programs/thelaa.org/,APPROXIMATE,"Atlanta, GA, USA",ChIJjQmTaV0E9YgRC2MLmS_e_mY,"Atlanta, GA, United States",33.7489954,-84.3879824,1,,OK,"locality,political"
19,TRENDS Global,http://www.trendsglobal.org/,APPROXIMATE,"Marietta, GA, USA",ChIJXQZHhpYQ9YgRgemOMsZWh7E,"Marietta, GA, United States",33.95260200000001,-84.5499327,1,,OK,"locality,political"
20,CRSA,http://newamericanpathways.org/,APPROXIMATE,"Tucker, GA, USA",ChIJWTlk2jOm9YgRGWJ2nUVPb20,"Tucker, GA, United States",33.8545479,-84.2171424,1,,OK,"locality,political"
21,Greater Des Moines Partnership,https://www.dsmpartnership.com/filesimages/Growing%20Business%20Here/PDF/2016_GlobalDSM_InternationalTalentStrategy%20(1).pdf,APPROXIMATE,"Des Moines, IA, USA",ChIJ5x5hwaSZ7ocRsuSRJlEoAHE,"Des Moines, IA, United States",41.5868353,-93.6249593,1,,OK,"locality,political"
22,One Siouxland,https://www.welcomingamerica.org/programs/OneSiouxland.org,APPROXIMATE,"Sioux City, IA, USA",ChIJCVJtRzZ5kocRjExonssKmCE,"Sioux City, IA, United States",42.4963416,-96.40494079999999,1,,OK,"locality,political"
23,YMCA of the University of Illinois,http://www.universityymca.org/,APPROXIMATE,"Champaign, IL, USA",ChIJG2mX3o3QDIgRz791tEd49TA,"Champaign, IL, United States",40.1164204,-88.2433829,1,,OK,"locality,political"
24,Upwardly Global,https://www.upwardlyglobal.org/,APPROXIMATE,"Chicago, IL, USA",ChIJ7cv00DwsDogRAMDACa2m4K8,"Chicago, IL, United States",41.8781136,-87.6297982,1,,OK,"locality,political"
25,MENTEE,http://www.menteechicago.org/,APPROXIMATE,"Naperville, IL, USA",ChIJB80W4mFXDogRUjAgfyyc34c,"Naperville, IL, United States",41.7508391,-88.1535352,1,,OK,"locality,political"
26,YMCA of Greater Louisville,http://www.ymcalouisville.org/,APPROXIMATE,"Louisville, KY, USA",ChIJEdVbsxoLaYgRMv1xICi009Q,"Louisville, KY, United States",38.2526647,-85.7584557,1,,OK,"locality,political"
27,Crescent City Immigrant and Refugee Collaborative,http://ccano.org/,APPROXIMATE,"New Orleans, LA, USA",ChIJZYIRslSkIIYRtNMiXuhbBts,"New Orleans, LA, United States",29.95106579999999,-90.0715323,1,,OK,"locality,political"
28,New England Arab American Organization,http://neaao.org/,APPROXIMATE,"Portland, ME, USA",ChIJLe6wqnKcskwRKfpyM7W2nX4,"Portland, ME, United States",43.6590993,-70.2568189,1,,OK,"locality,political"
29,Maine Association of New Americans,https://www.facebook.com/MaineMANA/,APPROXIMATE,"Portland, ME, USA",ChIJLe6wqnKcskwRKfpyM7W2nX4,"Portland, ME, United States",43.6590993,-70.2568189,1,,OK,"locality,political"
30,Global Detroit,http://www.globaldetroit.com/,APPROXIMATE,"Detroit, MI, USA",ChIJdR3LEAHKJIgR0sS5NU6Gdlc,"Detroit, MI, United States",42.331427,-83.0457538,1,,OK,"locality,political"
31,YMCA of Greater Grand Rapids,https://www.grymca.org/,APPROXIMATE,"Grand Rapids, MI, USA",ChIJFShQu2BUGIgR0KjTG8uqk6U,"Grand Rapids, MI, United States",42.9633599,-85.6680863,1,,OK,"locality,political"
32,Welcoming Michigan,http://www.welcomingmichigan.org/,APPROXIMATE,"Kalamazoo, MI, USA",ChIJuZIxSXmdF4gRCTBXSdL4fNo,"Kalamazoo, MI, United States",42.2917069,-85.5872286,1,,OK,"locality,political"
